Make,Model,Type,Origin,MSRP,Invoice,MPG_City,MPG_Highway
Buick,Park Avenue Ultra 4dr,Sedan,USA,40720.0,36927.0,18.0,28.0
Cadillac,Escalade,SUV,USA,52795.0,48377.0,14.0,18.0
Cadillac,SRX V8,SUV,USA,46995.0,43523.0,16.0,21.0
Cadillac,CTS VVT 4dr,Sedan,USA,30835.0,28575.0,18.0,25.0
Cadillac,Deville 4dr,Sedan,USA,45445.0,41650.0,18.0,26.0
Cadillac,Deville DTS 4dr,Sedan,USA,50595.0,46362.0,18.0,26.0
Cadillac,Seville SLS 4dr,Sedan,USA,47955.0,43841.0,18.0,26.0
Cadillac,XLR convertible 2dr,Sports,USA,76200.0,70546.0,17.0,25.0
Cadillac,Escalade EXT,Truck,USA,52975.0,48541.0,13.0,17.0
Chevrolet,Suburban 1500 LT,SUV,USA,42735.0,37422.0,14.0,18.0
Chevrolet,Tahoe LT,SUV,USA,41465.0,36287.0,14.0,18.0
Chevrolet,TrailBlazer LT,SUV,USA,30295.0,27479.0,16.0,21.0
Chevrolet,Tracker,SUV,USA,20255.0,19108.0,19.0,22.0
Chevrolet,Aveo 4dr,Sedan,USA,11690.0,10965.0,28.0,34.0
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,12585.0,11802.0,28.0,34.0
Chevrolet,Cavalier 2dr,Sedan,USA,14610.0,13697.0,26.0,37.0
Chevrolet,Cavalier 4dr,Sedan,USA,14810.0,13884.0,26.0,37.0
Chevrolet,Cavalier LS 2dr,Sedan,USA,16385.0,15357.0,26.0,37.0
Chevrolet,Impala 4dr,Sedan,USA,21900.0,20095.0,21.0,32.0
Chevrolet,Malibu 4dr,Sedan,USA,18995.0,17434.0,24.0,34.0
Chevrolet,Malibu LS 4dr,Sedan,USA,20370.0,18639.0,22.0,30.0
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,21825.0,20026.0,21.0,32.0
Chevrolet,Impala LS 4dr,Sedan,USA,25000.0,22931.0,20.0,30.0
Chevrolet,Impala SS 4dr,Sedan,USA,27995.0,25672.0,18.0,28.0
Chevrolet,Malibu LT 4dr,Sedan,USA,23495.0,21551.0,23.0,32.0
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,24225.0,22222.0,18.0,28.0
Chevrolet,Astro,Sedan,USA,26395.0,23954.0,14.0,17.0
Chevrolet,Venture LS,Sedan,USA,27020.0,24518.0,19.0,26.0
Chevrolet,Corvette 2dr,Sports,USA,44535.0,39068.0,18.0,25.0
Chevrolet,Corvette convertible 2dr,Sports,USA,51535.0,45193.0,18.0,25.0
Chevrolet,Avalanche 1500,Truck,USA,36100.0,31689.0,14.0,18.0
Chevrolet,Colorado Z85,Truck,USA,18760.0,17070.0,18.0,23.0
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,20310.0,18480.0,15.0,21.0
Chevrolet,Silverado SS,Truck,USA,40340.0,35399.0,13.0,17.0
Chevrolet,SSR,Truck,USA,41995.0,39306.0,16.0,19.0
Chevrolet,Malibu Maxx LS,Wagon,USA,22225.0,20394.0,22.0,30.0
Chrysler,PT Cruiser 4dr,Sedan,USA,17985.0,16919.0,22.0,29.0
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,22000.0,20573.0,22.0,29.0
Chrysler,Sebring 4dr,Sedan,USA,19090.0,17805.0,22.0,30.0
Chrysler,Sebring Touring 4dr,Sedan,USA,21840.0,20284.0,21.0,28.0
Chrysler,300M 4dr,Sedan,USA,29865.0,27797.0,18.0,27.0
Chrysler,Concorde LX 4dr,Sedan,USA,24130.0,22452.0,21.0,29.0
Chrysler,Concorde LXi 4dr,Sedan,USA,26860.0,24909.0,19.0,27.0
Chrysler,PT Cruiser GT 4dr,Sedan,USA,25955.0,24172.0,21.0,27.0
Chrysler,Sebring convertible 2dr,Sedan,USA,25215.0,23451.0,22.0,30.0
Chrysler,300M Special Edition 4dr,Sedan,USA,33295.0,30884.0,18.0,27.0
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,30950.0,28613.0,21.0,28.0
Chrysler,Town and Country LX,Sedan,USA,27490.0,25371.0,19.0,26.0
Chrysler,Town and Country Limited,Sedan,USA,38380.0,35063.0,18.0,25.0
Chrysler,Crossfire 2dr,Sports,USA,34495.0,32033.0,17.0,25.0
Chrysler,Pacifica,Wagon,USA,31230.0,28725.0,17.0,23.0
Dodge,Durango SLT,SUV,USA,32235.0,29472.0,15.0,21.0
Dodge,Neon SE 4dr,Sedan,USA,13670.0,12849.0,29.0,36.0
Dodge,Neon SXT 4dr,Sedan,USA,15040.0,14086.0,29.0,36.0
Dodge,Intrepid SE 4dr,Sedan,USA,22035.0,20502.0,21.0,29.0
Dodge,Stratus SXT 4dr,Sedan,USA,18820.0,17512.0,21.0,28.0
Dodge,Stratus SE 4dr,Sedan,USA,20220.0,18821.0,21.0,28.0
Dodge,Intrepid ES 4dr,Sedan,USA,24885.0,23058.0,18.0,27.0
Dodge,Caravan SE,Sedan,USA,21795.0,20508.0,20.0,26.0
Dodge,Grand Caravan SXT,Sedan,USA,32660.0,29812.0,18.0,25.0
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,81795.0,74451.0,12.0,20.0
Dodge,Dakota Regular Cab,Truck,USA,17630.0,16264.0,16.0,22.0
Dodge,Dakota Club Cab,Truck,USA,20300.0,18670.0,16.0,22.0
Dodge,Ram 1500 Regular Cab ST,Truck,USA,20215.0,18076.0,16.0,21.0
Ford,Excursion 6.8 XLT,SUV,USA,41475.0,36494.0,10.0,13.0
Ford,Expedition 4.6 XLT,SUV,USA,34560.0,30468.0,15.0,19.0
Ford,Explorer XLT V6,SUV,USA,29670.0,26983.0,15.0,20.0
Ford,Escape XLS,SUV,USA,22515.0,20907.0,18.0,23.0
Ford,Focus ZX3 2dr hatch,Sedan,USA,13270.0,12482.0,26.0,33.0
Ford,Focus LX 4dr,Sedan,USA,13730.0,12906.0,27.0,36.0
Ford,Focus SE 4dr,Sedan,USA,15460.0,14496.0,26.0,33.0
Ford,Focus ZX5 5dr,Sedan,USA,15580.0,14607.0,26.0,33.0
Ford,Focus SVT 2dr,Sedan,USA,19135.0,17878.0,21.0,28.0
Ford,Taurus LX 4dr,Sedan,USA,20320.0,18881.0,20.0,27.0
Ford,Taurus SES Duratec 4dr,Sedan,USA,22735.0,20857.0,19.0,26.0
Ford,Crown Victoria 4dr,Sedan,USA,24345.0,22856.0,17.0,25.0
Ford,Crown Victoria LX 4dr,Sedan,USA,27370.0,25105.0,17.0,25.0
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,30315.0,27756.0,17.0,25.0
Ford,Freestar SE,Sedan,USA,26930.0,24498.0,17.0,23.0
Ford,Mustang 2dr (convertible),Sports,USA,18345.0,16943.0,20.0,29.0
Ford,Mustang GT Premium convertible 2dr,Sports,USA,29380.0,26875.0,17.0,25.0
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,37530.0,34483.0,17.0,24.0
Ford,F-150 Regular Cab XL,Truck,USA,22010.0,19490.0,15.0,19.0
Ford,F-150 Supercab Lariat,Truck,USA,33540.0,29405.0,14.0,18.0
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,14385.0,13717.0,24.0,29.0
Ford,Focus ZTW,Wagon,USA,17475.0,16375.0,26.0,33.0
Ford,Taurus SE,Wagon,USA,22290.0,20457.0,19.0,26.0
GMC,Envoy XUV SLE,SUV,USA,31890.0,28922.0,15.0,19.0
GMC,Yukon 1500 SLE,SUV,USA,35725.0,31361.0,16.0,19.0
GMC,Yukon XL 2500 SLT,SUV,USA,46265.0,40534.0,13.0,17.0
GMC,Safari SLE,Sedan,USA,25640.0,23215.0,16.0,20.0
GMC,Canyon Z85 SL Regular Cab,Truck,USA,16530.0,14877.0,18.0,25.0
GMC,Sierra Extended Cab 1500,Truck,USA,25717.0,22604.0,17.0,20.0
GMC,Sierra HD 2500,Truck,USA,29322.0,25759.0,13.0,18.0
GMC,Sonoma Crew Cab,Truck,USA,25395.0,23043.0,15.0,19.0
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,20140.0,18451.0,46.0,51.0
Honda,Insight 2dr (gas/electric),Hybrid,Asia,19110.0,17911.0,60.0,66.0
Honda,Pilot LX,SUV,Asia,27560.0,24843.0,17.0,22.0
Honda,CR-V LX,SUV,Asia,19860.0,18419.0,21.0,25.0
Honda,Element LX,SUV,Asia,18690.0,17334.0,21.0,24.0
Honda,Civic DX 2dr,Sedan,Asia,13270.0,12175.0,32.0,38.0
Honda,Civic HX 2dr,Sedan,Asia,14170.0,12996.0,36.0,44.0
Honda,Civic LX 4dr,Sedan,Asia,15850.0,14531.0,32.0,38.0
Honda,Accord LX 2dr,Sedan,Asia,19860.0,17924.0,26.0,34.0
Honda,Accord EX 2dr,Sedan,Asia,22260.0,20080.0,26.0,34.0
Honda,Civic EX 4dr,Sedan,Asia,17750.0,16265.0,32.0,37.0
Honda,Civic Si 2dr hatch,Sedan,Asia,19490.0,17849.0,26.0,30.0
Honda,Accord LX V6 4dr,Sedan,Asia,23760.0,21428.0,21.0,30.0
Honda,Accord EX V6 2dr,Sedan,Asia,26960.0,24304.0,21.0,30.0
Honda,Odyssey LX,Sedan,Asia,24950.0,22498.0,18.0,25.0
Honda,Odyssey EX,Sedan,Asia,27450.0,24744.0,18.0,25.0
Honda,S2000 convertible 2dr,Sports,Asia,33260.0,29965.0,20.0,25.0
Hummer,H2,SUV,USA,49995.0,45815.0,10.0,12.0
Hyundai,Santa Fe GLS,SUV,Asia,21589.0,20201.0,20.0,26.0
Hyundai,Accent 2dr hatch,Sedan,Asia,10539.0,10107.0,29.0,33.0
Hyundai,Accent GL 4dr,Sedan,Asia,11839.0,11116.0,29.0,33.0
Hyundai,Accent GT 2dr hatch,Sedan,Asia,11939.0,11209.0,29.0,33.0
Hyundai,Elantra GLS 4dr,Sedan,Asia,13839.0,12781.0,26.0,34.0
Hyundai,Elantra GT 4dr,Sedan,Asia,15389.0,14207.0,26.0,34.0
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,15389.0,14207.0,26.0,34.0
Hyundai,Sonata GLS 4dr,Sedan,Asia,19339.0,17574.0,19.0,27.0
Hyundai,Sonata LX 4dr,Sedan,Asia,20339.0,18380.0,19.0,27.0
Hyundai,XG350 4dr,Sedan,Asia,24589.0,22055.0,17.0,26.0
Hyundai,XG350 L 4dr,Sedan,Asia,26189.0,23486.0,17.0,26.0
Hyundai,Tiburon GT V6 2dr,Sports,Asia,18739.0,17101.0,19.0,26.0
Infiniti,G35 4dr,Sedan,Asia,28495.0,26157.0,18.0,26.0
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,29795.0,27536.0,18.0,26.0
Infiniti,G35 4dr,Sedan,Asia,32445.0,29783.0,18.0,26.0
Infiniti,I35 4dr,Sedan,Asia,31145.0,28320.0,19.0,26.0
Infiniti,M45 4dr,Sedan,Asia,42845.0,38792.0,17.0,23.0
Infiniti,Q45 Luxury 4dr,Sedan,Asia,52545.0,47575.0,17.0,23.0
Infiniti,FX35,Wagon,Asia,34895.0,31756.0,16.0,22.0
Infiniti,FX45,Wagon,Asia,36395.0,33121.0,15.0,19.0
Isuzu,Ascender S,SUV,Asia,31849.0,29977.0,15.0,20.0
Isuzu,Rodeo S,SUV,Asia,20449.0,19261.0,17.0,21.0
Jaguar,X-Type 2.5 4dr,Sedan,Europe,29995.0,27355.0,18.0,26.0
Jaguar,X-Type 3.0 4dr,Sedan,Europe,33995.0,30995.0,18.0,25.0
Jaguar,S-Type 3.0 4dr,Sedan,Europe,43895.0,40004.0,18.0,26.0
Jaguar,S-Type 4.2 4dr,Sedan,Europe,49995.0,45556.0,18.0,28.0
Jaguar,S-Type R 4dr,Sedan,Europe,63120.0,57499.0,17.0,24.0
Jaguar,Vanden Plas 4dr,Sedan,Europe,68995.0,62846.0,18.0,28.0
Jaguar,XJ8 4dr,Sedan,Europe,59995.0,54656.0,18.0,28.0
Jaguar,XJR 4dr,Sedan,Europe,74995.0,68306.0,17.0,24.0
Jaguar,XK8 coupe 2dr,Sports,Europe,69995.0,63756.0,18.0,26.0
Jaguar,XK8 convertible 2dr,Sports,Europe,74995.0,68306.0,18.0,26.0
Jaguar,XKR coupe 2dr,Sports,Europe,81995.0,74676.0,16.0,23.0
Jaguar,XKR convertible 2dr,Sports,Europe,86995.0,79226.0,16.0,23.0
Jeep,Grand Cherokee Laredo,SUV,USA,27905.0,25686.0,16.0,21.0
Jeep,Liberty Sport,SUV,USA,20130.0,18973.0,20.0,24.0
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,25520.0,23275.0,16.0,19.0
Kia,Sorento LX,SUV,Asia,19635.0,18630.0,16.0,19.0
Kia,Optima LX 4dr,Sedan,Asia,16040.0,14910.0,23.0,30.0
Kia,Rio 4dr manual,Sedan,Asia,10280.0,9875.0,26.0,33.0
Kia,Rio 4dr auto,Sedan,Asia,11155.0,10705.0,25.0,32.0
Kia,Spectra 4dr,Sedan,Asia,12360.0,11630.0,24.0,32.0
Kia,Spectra GS 4dr hatch,Sedan,Asia,13580.0,12830.0,24.0,32.0
Kia,Spectra GSX 4dr hatch,Sedan,Asia,14630.0,13790.0,24.0,32.0
Kia,Optima LX V6 4dr,Sedan,Asia,18435.0,16850.0,20.0,27.0
Kia,Amanti 4dr,Sedan,Asia,26000.0,23764.0,17.0,25.0
Kia,Sedona LX,Sedan,Asia,20615.0,19400.0,16.0,22.0
Kia,Rio Cinco,Wagon,Asia,11905.0,11410.0,26.0,33.0
Land Rover,Range Rover HSE,SUV,Europe,72250.0,65807.0,12.0,16.0
Land Rover,Discovery SE,SUV,Europe,39250.0,35777.0,12.0,16.0
Land Rover,Freelander SE,SUV,Europe,25995.0,23969.0,18.0,21.0
Lexus,GX 470,SUV,Asia,45700.0,39838.0,15.0,19.0
Lexus,LX 470,SUV,Asia,64800.0,56455.0,13.0,17.0
Lexus,RX 330,SUV,Asia,39195.0,34576.0,18.0,24.0
Lexus,ES 330 4dr,Sedan,Asia,32350.0,28755.0,20.0,29.0
Lexus,IS 300 4dr manual,Sedan,Asia,31045.0,27404.0,18.0,25.0
Lexus,IS 300 4dr auto,Sedan,Asia,32415.0,28611.0,18.0,24.0
Lexus,GS 300 4dr,Sedan,Asia,41010.0,36196.0,18.0,25.0
Lexus,GS 430 4dr,Sedan,Asia,48450.0,42232.0,18.0,23.0
Lexus,LS 430 4dr,Sedan,Asia,55750.0,48583.0,18.0,25.0
Lexus,SC 430 convertible 2dr,Sports,Asia,63200.0,55063.0,18.0,23.0
Lexus,IS 300 SportCross,Wagon,Asia,32455.0,28647.0,18.0,24.0
Lincoln,Navigator Luxury,SUV,USA,52775.0,46360.0,13.0,18.0
Lincoln,Aviator Ultimate,SUV,USA,42915.0,39443.0,13.0,18.0
Lincoln,LS V6 Luxury 4dr,Sedan,USA,32495.0,29969.0,20.0,26.0
Lincoln,LS V6 Premium 4dr,Sedan,USA,36895.0,33929.0,20.0,26.0
Lincoln,LS V8 Sport 4dr,Sedan,USA,40095.0,36809.0,17.0,24.0
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,43495.0,39869.0,17.0,24.0
Lincoln,Town Car Signature 4dr,Sedan,USA,41815.0,38418.0,17.0,25.0
Lincoln,Town Car Ultimate 4dr,Sedan,USA,44925.0,41217.0,17.0,25.0
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,50470.0,46208.0,17.0,25.0
MINI,Cooper,Sedan,Europe,16999.0,15437.0,28.0,37.0
MINI,Cooper S,Sedan,Europe,19999.0,18137.0,25.0,34.0
Mazda,Tribute DX 2.0,SUV,Asia,21087.0,19742.0,22.0,25.0
Mazda,Mazda3 i 4dr,Sedan,Asia,15500.0,14525.0,26.0,34.0
Mazda,Mazda3 s 4dr,Sedan,Asia,17200.0,15922.0,25.0,31.0
Mazda,Mazda6 i 4dr,Sedan,Asia,19270.0,17817.0,24.0,32.0
Mazda,MPV ES,Sedan,Asia,28750.0,26600.0,18.0,25.0
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,22388.0,20701.0,23.0,28.0
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,25193.0,23285.0,23.0,28.0
Mazda,RX-8 4dr automatic,Sports,Asia,25700.0,23794.0,18.0,25.0
Mazda,RX-8 4dr manual,Sports,Asia,27200.0,25179.0,18.0,24.0
Mazda,B2300 SX Regular Cab,Truck,Asia,14840.0,14070.0,24.0,29.0
Mazda,B4000 SE Cab Plus,Truck,Asia,22350.0,20482.0,15.0,19.0
Mercedes-Benz,G500,SUV,Europe,76870.0,71540.0,13.0,14.0
Mercedes-Benz,ML500,SUV,Europe,46470.0,43268.0,14.0,17.0
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,26060.0,24249.0,22.0,30.0
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,28370.0,26435.0,19.0,26.0
Mercedes-Benz,C240 4dr,Sedan,Europe,32280.0,30071.0,20.0,25.0
Mercedes-Benz,C240 4dr,Sedan,Europe,33480.0,31187.0,19.0,25.0
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,35920.0,33456.0,19.0,26.0
Mercedes-Benz,C320 4dr,Sedan,Europe,37630.0,35046.0,20.0,26.0
Mercedes-Benz,C320 4dr,Sedan,Europe,38830.0,36162.0,19.0,27.0
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,52120.0,48522.0,16.0,21.0
Mercedes-Benz,CL500 2dr,Sedan,Europe,94820.0,88324.0,16.0,24.0
Mercedes-Benz,CL600 2dr,Sedan,Europe,128420.0,119600.0,13.0,19.0
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,45707.0,41966.0,20.0,26.0
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,52800.0,49104.0,17.0,22.0
Mercedes-Benz,E320 4dr,Sedan,Europe,48170.0,44849.0,19.0,27.0
Mercedes-Benz,E500 4dr,Sedan,Europe,57270.0,53382.0,16.0,20.0
Mercedes-Benz,S430 4dr,Sedan,Europe,74320.0,69168.0,18.0,26.0
Mercedes-Benz,S500 4dr,Sedan,Europe,86970.0,80939.0,16.0,24.0
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,90520.0,84325.0,16.0,23.0
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,121770.0,113388.0,14.0,21.0
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,126670.0,117854.0,13.0,19.0
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,40320.0,37548.0,21.0,29.0
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,56170.0,52289.0,17.0,22.0
Mercedes-Benz,C240,Wagon,Europe,33780.0,31466.0,19.0,25.0
Mercedes-Benz,E320,Wagon,Europe,50670.0,47174.0,19.0,27.0
Mercedes-Benz,E500,Wagon,Europe,60670.0,56474.0,16.0,24.0
Mercury,Mountaineer,SUV,USA,29995.0,27317.0,16.0,21.0
Mercury,Sable GS 4dr,Sedan,USA,21595.0,19848.0,20.0,27.0
Mercury,Grand Marquis GS 4dr,Sedan,USA,24695.0,23217.0,17.0,25.0
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,29595.0,27148.0,17.0,25.0
Mercury,Sable LS Premium 4dr,Sedan,USA,23895.0,21918.0,19.0,26.0
Mercury,Grand Marquis LS Ultimate 4dr,Sedan,USA,30895.0,28318.0,17.0,25.0
Mercury,Marauder 4dr,Sedan,USA,34495.0,31558.0,17.0,23.0
Mercury,Monterey Luxury,Sedan,USA,33995.0,30846.0,16.0,23.0
Mercury,Sable GS,Wagon,USA,22595.0,20748.0,19.0,26.0
Mitsubishi,Endeavor XLS,SUV,Asia,30492.0,28330.0,17.0,21.0
Mitsubishi,Montero XLS,SUV,Asia,33112.0,30763.0,15.0,19.0
Mitsubishi,Outlander LS,SUV,Asia,18892.0,17569.0,21.0,27.0
Mitsubishi,Lancer ES 4dr,Sedan,Asia,14622.0,13751.0,25.0,31.0
Mitsubishi,Lancer LS 4dr,Sedan,Asia,16722.0,15718.0,25.0,31.0
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,19312.0,17957.0,23.0,30.0
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,17232.0,16196.0,25.0,31.0
Mitsubishi,Diamante LS 4dr,Sedan,Asia,29282.0,27250.0,18.0,25.0
Mitsubishi,Galant GTS 4dr,Sedan,Asia,25700.0,23883.0,18.0,26.0
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,25092.0,23456.0,21.0,28.0
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,26992.0,25218.0,21.0,28.0
Mitsubishi,Lancer Evolution 4dr,Sports,Asia,29562.0,27466.0,18.0,26.0
Mitsubishi,Lancer Sportback LS,Wagon,Asia,17495.0,16295.0,25.0,31.0
Nissan,Pathfinder Armada SE,SUV,Asia,33840.0,30815.0,13.0,19.0
Nissan,Pathfinder SE,SUV,Asia,27339.0,25972.0,16.0,21.0
Nissan,Xterra XE V6,SUV,Asia,20939.0,19512.0,17.0,20.0
Nissan,Sentra 1.8 4dr,Sedan,Asia,12740.0,12205.0,28.0,35.0
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,14740.0,13747.0,28.0,35.0
Nissan,Altima S 4dr,Sedan,Asia,19240.0,18030.0,21.0,26.0
Nissan,Sentra SE-R 4dr,Sedan,Asia,17640.0,16444.0,23.0,28.0
Nissan,Altima SE 4dr,Sedan,Asia,23290.0,21580.0,21.0,26.0
Nissan,Maxima SE 4dr,Sedan,Asia,27490.0,25182.0,20.0,28.0
Nissan,Maxima SL 4dr,Sedan,Asia,29440.0,26966.0,20.0,28.0
Nissan,Quest S,Sedan,Asia,24780.0,22958.0,19.0,26.0
Nissan,Quest SE,Sedan,Asia,32780.0,30019.0,18.0,25.0
Nissan,350Z coupe 2dr,Sports,Asia,26910.0,25203.0,20.0,26.0
Nissan,350Z Enthusiast convertible 2dr,Sports,Asia,34390.0,31845.0,20.0,26.0
Nissan,Frontier King Cab XE V6,Truck,Asia,19479.0,18253.0,17.0,20.0
Nissan,Titan King Cab XE,Truck,Asia,26650.0,24926.0,14.0,18.0
Nissan,Murano SL,Wagon,Asia,28739.0,27300.0,20.0,25.0
Oldsmobile,Alero GX 2dr,Sedan,USA,18825.0,17642.0,24.0,32.0
Oldsmobile,Alero GLS 2dr,Sedan,USA,23675.0,21485.0,20.0,29.0
Oldsmobile,Silhouette GL,Sedan,USA,28790.0,26120.0,19.0,26.0
Pontiac,Aztekt,SUV,USA,21595.0,19810.0,19.0,26.0
Pontiac,Sunfire 1SA 2dr,Sedan,USA,15495.0,14375.0,24.0,33.0
Pontiac,Grand Am GT 2dr,Sedan,USA,22450.0,20595.0,20.0,29.0
Pontiac,Grand Prix GT1 4dr,Sedan,USA,22395.0,20545.0,20.0,30.0
Pontiac,Sunfire 1SC 2dr,Sedan,USA,17735.0,16369.0,24.0,33.0
Pontiac,Grand Prix GT2 4dr,Sedan,USA,24295.0,22284.0,20.0,30.0
Pontiac,Bonneville GXP 4dr,Sedan,USA,35995.0,32997.0,17.0,20.0
