Market,Customer,Business Segment,Category,Model,Color,SalesDate,SalesPeriod,ListPrice,UnitPrice,OrderQty,Sales Amount
Southeast,Sports Sales and Rental,Clothing,Socks,Mountain Bike Socks,White,1/17/2008,1/1/2008,10,6,2,11
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Black,1/16/2008,1/1/2008,1350,715,1,715
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,1/7/2008,1/1/2008,3375,2025,4,8100
Northwest,Latest Sports Equipment,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/14/2008,1/1/2008,50,29,1,29
Northwest,Latest Sports Equipment,Clothing,Caps,Cycling Cap,Multi,1/15/2008,1/1/2008,9,5,1,5
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,1/8/2008,1/1/2008,3375,2025,2,4050
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,1/16/2008,1/1/2008,3400,2040,6,12240
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,1/19/2008,1/1/2008,3400,2040,2,4080
Northwest,Latest Sports Equipment,Clothing,Socks,Mountain Bike Socks,White,1/25/2008,1/1/2008,10,6,4,23
Northwest,Latest Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,1/13/2008,1/1/2008,3375,2025,2,4050
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Black,1/30/2008,1/1/2008,783,419,2,839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,1/16/2008,1/1/2008,1458,875,5,4374
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,1/28/2008,1/1/2008,3578,2147,2,4294
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,1/10/2008,1/1/2008,3578,2147,1,2147
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,1/12/2008,1/1/2008,1458,875,1,875
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,1/13/2008,1/1/2008,783,419,2,839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,1/25/2008,1/1/2008,783,419,1,419
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,1/16/2008,1/1/2008,783,419,2,839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,1/3/2008,1/1/2008,1458,875,3,2624
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Red,1/7/2008,1/1/2008,783,419,2,839
Northeast,Weekend Tours,Bikes,Road Bikes,Road-650,Black,1/6/2008,1/1/2008,783,419,1,419
Northeast,Weekend Tours,Bikes,Road Bikes,Road-450,Red,1/15/2008,1/1/2008,1458,875,2,1750
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,1/10/2008,1/1/2008,3578,2147,1,2147
Northeast,Weekend Tours,Bikes,Road Bikes,Road-150,Red,1/23/2008,1/1/2008,3578,2147,1,2147
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,1/25/2008,1/1/2008,783,419,4,1678
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,1/18/2008,1/1/2008,1458,875,3,2624
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Red,1/2/2008,1/1/2008,337,184,1,184
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,1/19/2008,1/1/2008,1458,875,4,3499
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Red,1/28/2008,1/1/2008,337,184,1,184
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,1/10/2008,1/1/2008,783,419,2,839
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Black,1/15/2008,1/1/2008,337,179,2,357
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,1/4/2008,1/1/2008,783,419,1,419
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,1/30/2008,1/1/2008,783,419,2,839
Southwest,Fitness Toy Store,Components,Road Frames,ML Road Frame,Red,1/7/2008,1/1/2008,595,357,2,714
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Black,1/10/2008,1/1/2008,337,179,3,536
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-150,Red,1/1/2008,1/1/2008,3578,2147,2,4294
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,1/12/2008,1/1/2008,1458,875,4,3499
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,1/9/2008,1/1/2008,783,419,6,2517
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,1/9/2008,1/1/2008,1458,875,1,875
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,1/17/2008,1/1/2008,783,419,2,839
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,1/20/2008,1/1/2008,783,419,7,2936
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,1/11/2008,1/1/2008,783,419,3,1258
Northwest,Basic Bike Company,Components,Road Frames,LL Road Frame,Red,1/12/2008,1/1/2008,337,184,3,552
Northwest,Basic Bike Company,Components,Road Frames,LL Road Frame,Red,1/28/2008,1/1/2008,337,184,2,368
Northwest,Basic Bike Company,Accessories,Helmets,Sport-100,Blue,1/1/2008,1/1/2008,35,20,1,20
Northwest,Basic Bike Company,Accessories,Helmets,Sport-100,Black,1/27/2008,1/1/2008,35,20,1,20
Northwest,Basic Bike Company,Bikes,Road Bikes,Road-650,Black,1/11/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/13/2008,1/1/2008,783,419,3,1258
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/21/2008,1/1/2008,783,419,2,839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-450,Red,1/8/2008,1/1/2008,1458,875,1,875
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,1/27/2008,1/1/2008,3578,2147,1,2147
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/20/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/15/2008,1/1/2008,783,419,2,839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,1/2/2008,1/1/2008,3578,2147,2,4294
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/24/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/1/2008,1/1/2008,783,419,2,839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/15/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,1/12/2008,1/1/2008,3578,2147,2,4294
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/24/2008,1/1/2008,783,419,2,839
Southwest,Separate Parts Corporation,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/10/2008,1/1/2008,50,29,2,58
Southwest,Separate Parts Corporation,Clothing,Caps,Cycling Cap,Multi,1/22/2008,1/1/2008,9,5,3,16
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/10/2008,1/1/2008,783,419,2,839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/2/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,1/13/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,1/4/2008,1/1/2008,783,419,1,419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,1/20/2008,1/1/2008,3578,2147,2,4294
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Blue,1/9/2008,1/1/2008,35,20,2,40
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,1/21/2008,1/1/2008,783,419,1,419
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/2/2008,1/1/2008,50,29,2,58
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Black,1/2/2008,1/1/2008,35,20,5,101
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/11/2008,1/1/2008,50,29,4,115
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,1/23/2008,1/1/2008,783,419,1,419
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Red,1/29/2008,1/1/2008,337,184,4,736
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,1/9/2008,1/1/2008,1458,875,3,2624
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,1/22/2008,1/1/2008,783,419,2,839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,1/18/2008,1/1/2008,783,419,3,1258
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Black,1/17/2008,1/1/2008,337,179,2,357
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,1/15/2008,1/1/2008,1458,875,1,875
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,1/19/2008,1/1/2008,783,419,4,1678
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,1/27/2008,1/1/2008,783,419,2,839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,1/5/2008,1/1/2008,783,419,2,839
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/3/2008,1/1/2008,50,29,4,115
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Red,1/4/2008,1/1/2008,35,20,5,101
Southwest,Bike Dealers Association,Components,Road Frames,ML Road Frame,Red,1/26/2008,1/1/2008,595,357,2,714
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-150,Red,1/24/2008,1/1/2008,3578,2147,4,8588
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Red,1/23/2008,1/1/2008,337,184,4,736
Southwest,Bike Dealers Association,Clothing,Caps,Cycling Cap,Multi,1/12/2008,1/1/2008,9,5,5,26
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,1/29/2008,1/1/2008,1458,875,1,875
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,1/6/2008,1/1/2008,783,419,2,839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,1/25/2008,1/1/2008,783,419,2,839
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Red,1/6/2008,1/1/2008,337,184,3,552
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Black,1/14/2008,1/1/2008,337,179,1,179
Northeast,Curbside Universe,Clothing,Caps,Cycling Cap,Multi,1/7/2008,1/1/2008,9,5,2,10
Northeast,Curbside Universe,Bikes,Road Bikes,Road-150,Red,1/29/2008,1/1/2008,3578,2147,1,2147
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Red,1/18/2008,1/1/2008,337,184,1,184
Northeast,Curbside Universe,Accessories,Helmets,Sport-100,Red,1/18/2008,1/1/2008,35,20,1,20
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Black,1/31/2008,1/1/2008,783,419,2,839
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Red,1/7/2008,1/1/2008,783,419,1,419
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Red,1/11/2008,1/1/2008,783,419,2,839
Southeast,Juvenile Sports Equipment,Clothing,Caps,Cycling Cap,Multi,1/22/2008,1/1/2008,9,5,1,5
Southeast,Juvenile Sports Equipment,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/25/2008,1/1/2008,50,29,1,29
Southeast,Juvenile Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,1/19/2008,1/1/2008,3375,2025,2,4050
Southeast,Juvenile Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,1/18/2008,1/1/2008,3400,2040,2,4080
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-650,Black,1/13/2008,1/1/2008,783,419,2,839
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-650,Red,1/9/2008,1/1/2008,783,419,1,419
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-450,Red,1/5/2008,1/1/2008,1458,875,1,875
Southwest,Vehicle Shop,Bikes,Road Bikes,Road-650,Black,1/17/2008,1/1/2008,783,419,1,419
Southwest,Vehicle Shop,Bikes,Road Bikes,Road-650,Red,1/26/2008,1/1/2008,783,419,1,419
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,1/9/2008,1/1/2008,3375,2025,3,6075
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,1/21/2008,1/1/2008,3400,2040,2,4080
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,1/20/2008,1/1/2008,3375,2025,4,8100
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,1/17/2008,1/1/2008,3400,2040,4,8160
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,1/7/2008,1/1/2008,3375,2025,5,10125
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,1/24/2008,1/1/2008,3400,2040,2,4080
Northwest,Capable Sales and Service,Clothing,Socks,Mountain Bike Socks,White,1/15/2008,1/1/2008,10,6,5,29
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,1/31/2008,1/1/2008,783,419,2,839
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Blue,1/29/2008,1/1/2008,35,20,1,20
Southeast,Bike Rims Company,Components,Road Frames,ML Road Frame,Red,1/27/2008,1/1/2008,595,357,1,357
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,1/6/2008,1/1/2008,1458,875,2,1750
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,1/28/2008,1/1/2008,1458,875,2,1750
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,1/26/2008,1/1/2008,783,419,2,839
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Black,1/10/2008,1/1/2008,35,20,2,40
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,1/10/2008,1/1/2008,783,419,1,419
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,1/17/2008,1/1/2008,783,419,2,839
Southeast,Bike Rims Company,Components,Road Frames,LL Road Frame,Red,1/27/2008,1/1/2008,337,184,2,368
Southeast,Bike Rims Company,Clothing,Caps,Cycling Cap,Multi,1/4/2008,1/1/2008,9,5,2,10
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-150,Red,1/10/2008,1/1/2008,3578,2147,2,4294
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Red,1/18/2008,1/1/2008,35,20,1,20
Southeast,Bike Rims Company,Components,Road Frames,LL Road Frame,Red,1/12/2008,1/1/2008,337,184,1,184
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/12/2008,1/1/2008,50,29,4,115
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,1/2/2008,1/1/2008,783,419,2,839
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/8/2008,1/1/2008,50,29,2,58
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,1/19/2008,1/1/2008,783,419,1,419
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/18/2008,1/1/2008,50,29,2,58
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,1/23/2008,1/1/2008,1458,875,3,2624
Southwest,Riding Excursions,Bikes,Road Bikes,Road-650,Red,1/3/2008,1/1/2008,783,419,1,419
Southeast,Simple Bike Parts,Bikes,Road Bikes,Road-650,Black,1/16/2008,1/1/2008,783,419,1,419
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Black,1/23/2008,1/1/2008,3375,2025,2,4050
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Black,1/9/2008,1/1/2008,3375,2025,2,4050
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Silver,1/30/2008,1/1/2008,3400,2040,2,4080
Southeast,Clamps & Brackets Co.,Clothing,Socks,Mountain Bike Socks,White,1/28/2008,1/1/2008,10,6,9,51
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Black,1/31/2008,1/1/2008,783,419,4,1678
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Black,1/27/2008,1/1/2008,783,419,1,419
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,1/14/2008,1/1/2008,783,419,3,1258
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,1/21/2008,1/1/2008,783,419,2,839
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-450,Red,1/22/2008,1/1/2008,1458,875,5,4374
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,1/21/2008,1/1/2008,783,419,1,419
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-450,Red,1/9/2008,1/1/2008,1458,875,1,875
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,1/4/2008,1/1/2008,783,419,3,1258
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/1/2008,1/1/2008,783,419,2,839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,1/12/2008,1/1/2008,3578,2147,2,4294
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,1/7/2008,1/1/2008,3578,2147,5,10735
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/16/2008,1/1/2008,783,419,3,1258
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,1/23/2008,1/1/2008,783,419,1,419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/23/2008,1/1/2008,783,419,1,419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,1/2/2008,1/1/2008,783,419,2,839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/11/2008,1/1/2008,783,419,2,839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,1/30/2008,1/1/2008,3578,2147,2,4294
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,1/24/2008,1/1/2008,783,419,2,839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/27/2008,1/1/2008,783,419,1,419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-450,Red,1/19/2008,1/1/2008,1458,875,2,1750
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-450,Red,1/28/2008,1/1/2008,1458,875,1,875
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,1/22/2008,1/1/2008,3578,2147,1,2147
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,1/1/2008,1/1/2008,783,419,1,419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,1/16/2008,1/1/2008,783,419,2,839
Southwest,Area Bike Accessories,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/12/2008,1/1/2008,50,29,2,58
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,1/14/2008,1/1/2008,3400,2040,4,8160
Northwest,Great Bikes,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/15/2008,1/1/2008,50,29,4,115
Northwest,Great Bikes,Clothing,Socks,Mountain Bike Socks,White,1/28/2008,1/1/2008,10,6,4,23
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,1/2/2008,1/1/2008,3375,2025,4,8100
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,1/3/2008,1/1/2008,3400,2040,2,4080
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,1/16/2008,1/1/2008,3400,2040,2,4080
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,1/13/2008,1/1/2008,3400,2040,8,16320
Northwest,Great Bikes,Clothing,Caps,Cycling Cap,Multi,1/3/2008,1/1/2008,9,5,1,5
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,1/21/2008,1/1/2008,3375,2025,4,8100
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,1/6/2008,1/1/2008,3375,2025,2,4050
Southwest,World Bike Discount Store,Bikes,Road Bikes,Road-650,Black,1/13/2008,1/1/2008,783,419,1,419
Southwest,Wheel Gallery,Components,Road Frames,LL Road Frame,Black,1/26/2008,1/1/2008,337,179,2,357
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-150,Red,1/29/2008,1/1/2008,3578,2147,1,2147
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Black,1/13/2008,1/1/2008,783,419,2,839
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-450,Red,1/3/2008,1/1/2008,1458,875,1,875
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Red,1/28/2008,1/1/2008,783,419,1,419
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Black,1/13/2008,1/1/2008,783,419,1,419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,1/16/2008,1/1/2008,783,419,2,839
Southeast,Daring Rides,Bikes,Road Bikes,Road-150,Red,1/8/2008,1/1/2008,3578,2147,1,2147
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,1/15/2008,1/1/2008,783,419,1,419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,1/1/2008,1/1/2008,783,419,1,419
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,1/4/2008,1/1/2008,1458,875,1,875
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,1/12/2008,1/1/2008,1458,875,3,2624
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,1/29/2008,1/1/2008,783,419,5,2097
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,1/25/2008,1/1/2008,783,419,1,419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,1/29/2008,1/1/2008,783,419,2,839
Southeast,Daring Rides,Bikes,Road Bikes,Road-150,Red,1/18/2008,1/1/2008,3578,2147,4,8588
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,1/7/2008,1/1/2008,1458,875,1,875
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,1/12/2008,1/1/2008,783,419,2,839
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,1/22/2008,1/1/2008,783,419,1,419
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,1/28/2008,1/1/2008,1458,875,2,1750
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,1/27/2008,1/1/2008,1458,875,1,875
Northwest,Synthetic Materials Manufacturing,Bikes,Road Bikes,Road-650,Black,1/18/2008,1/1/2008,783,419,1,419
Northwest,The Bike Shop,Components,Mountain Frames,HL Mountain Frame,Silver,1/25/2008,1/1/2008,1365,723,2,1445
Northwest,The Bike Shop,Components,Mountain Frames,HL Mountain Frame,Black,1/14/2008,1/1/2008,1350,810,1,810
Northwest,The Bike Shop,Bikes,Mountain Bikes,Mountain-100,Silver,1/29/2008,1/1/2008,3400,2040,1,2040
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-450,Red,1/1/2008,1/1/2008,1458,875,2,1750
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/10/2008,1/1/2008,783,419,2,839
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Black,1/27/2008,1/1/2008,783,419,5,2097
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Black,1/25/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,1/1/2008,1/1/2008,50,29,1,29
Northeast,Seventh Bike Store,Clothing,Caps,Cycling Cap,Multi,1/5/2008,1/1/2008,9,5,2,10
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-450,Red,1/13/2008,1/1/2008,1458,875,2,1750
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/12/2008,1/1/2008,783,419,3,1258
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/7/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-450,Red,1/9/2008,1/1/2008,1458,875,1,875
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/6/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/4/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-150,Red,1/20/2008,1/1/2008,3578,2147,1,2147
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Black,1/25/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-150,Red,1/12/2008,1/1/2008,3578,2147,2,4294
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,1/17/2008,1/1/2008,783,419,1,419
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-450,Red,1/3/2008,1/1/2008,1458,875,2,1750
